,분류,공연/행사명,날짜/시간,장소,이용대상,이용요금,홈페이지?주소,대표이미지,유무료
234,교육/체험,[서울시립미술관] 모두를 위한 예술 프로그램_몸으로 만나는 미술관,2025-05-08~2025-06-05,"서울시립미술관 서소문본관 1층 로비, 전시실, 야외조각공원",성인 65세 이상 누구나,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1396659,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21e7b7110bf74aef80ade764fc507f58&thumb=Y,무료
235,교육/체험,[중랑문화재단] 창의융합 유아동 예술프로그램 [말랑말랑 중랑] 5월,2025-05-08~2025-05-31,중랑아트센터 프로그램실,5세(21년생)~10세(16년생),프로그램별 상이 (상세 내용 참조),https://www.jnfac.or.kr/art/edu/view/592,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a9a1cab295e2401792dd860cd8040ebf&thumb=Y,유료
236,축제-문화/예술,[종로문화재단] 어디나스테이지 개막축제,2025-05-08~2025-05-09,광화문광장,누구나,무료,https://www.jongnofestival.kr/2025/html/?p=0202,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=21707f9269f14c50974cc9530df9c701&thumb=Y,무료
237,콘서트,[서울시립대학교] The Gift x 별별하모니 오케스트라,2025-05-08~2025-05-08,서울 어린이 병원 ,누구나,무료,http://childhosp.seoul.go.kr,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a33350b30a824c22a1e07ebeb258aeb0&thumb=Y,무료
238,클래식,[서울시립교향악단] 우리동네 음악회 관현악-강북구,2025-05-08~2025-05-08,강북문화예술회관 강북소나무홀,만 7세(초등학생) 이상 관람가,,https://www.gbcf.or.kr/load.asp?subPage=110.View&page=1&idx=315,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92bb9e30fff84f338e4ea2d79a0b2259&thumb=Y,무료
239,뮤지컬/오페라,[강남문화재단] 제996회 목요예술무대 시리즈 파장 [조형균의 뮤지컬&토크],2025-05-08~2025-05-08,강남씨어터 (역삼1동 복합문화센터 3층),만 7세 이상,전석 2만원(30-50% 할인권종有),https://www.gangnam.go.kr/office/gfac/board/gfac_perform09/610/view.do?mid=gfac_perform0104,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1e7ba39e4aa64fec8edb25d69e1873d4&thumb=Y,유료
240,교육/체험,[서울시립 북서울미술관] 청소년 전시 감상 프로그램 [학교 옆 미술관],2025-05-07~2025-07-31,서울시립 북서울미술관 전시실(서울특별시 노원구 동일로 1238),"청소년, 중학생, 고등학생",,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1388828,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ff79f450e1f84e86811f830f4d1fb88d&thumb=Y,무료
241,교육/체험,[중구문화재단] 2025 중구동네친구 - 취향존중(存中)_2차,2025-05-07~2025-06-28,"고래사진관, 라이팅룸, 미스릴 공방 등",문화예술로 소통하고 싶은 성인,,https://www.caci.or.kr/community/notice/143513?q=null,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5a858aead35040ee8a732c7d2cbf3d66&thumb=Y,무료
242,교육/체험,[관악문화재단] 싱글벙글교육센터 5월 특강 수강생 모집,2025-05-07~2025-06-07,싱글벙글교육센터 세미나실,성인,프로그램별 상이,https://gfac.or.kr/site/main/program/edu/list,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=15ba441917184c3486d810e8bf7f4e97&thumb=Y,유료
243,교육/체험,[서울무형유산교육전시장] 2025년 야간 특별체험 [달빛공방],2025-05-07~2025-05-30,서울무형유산교육전시장(서울시 종로구 율곡로10길 13),교육전시장 일반교육 수강 이력이 없는 분(2023년~2025년 동안),"재료비 30,000원",http://www.seoulmaster.co.kr/bbs/board.php?bo_table=bbs1&wr_id=188,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d1f5958eda1b4a47811989f098653e5a&thumb=Y,유료
244,전시/미술,"임진성 기획초대전 [현실과 이상 사이, 금빛 산수로의 여정]",2025-05-07~2025-05-18,세종뮤지엄갤러리 B2,누구나,,https://www.instagram.com/p/DJVtDPoJbV2/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0b72fc70b3884038a6e6549970ca415a&thumb=Y,무료
245,교육/체험,[서울역사편찬원] 2025년 서울역사문화답사 5월 신청 안내,2025-05-07~2025-05-16,"캠프그레이 미군기지 터, 유일한역사관, 실미도 사건 터, 공군기념탑 등",서울시민 누구나(고등학생 이상 성인 권장),,https://history.seoul.go.kr/bbsctt/view.do?bbscttSn=2505030001&sc_bbsctt_field_sn=0009&key=2210200020&sc_custom1=apply&pageIndex=1&orderBy=bbscttOrdr+desc&sc_cate=&sc_bbsctt_adit_iem_cn=&sc=&sw=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7a7ca66640f54bb4819654e901f0111c&thumb=Y,무료
246,축제-문화/예술,2025 국제기로 미술대축제,2025-05-07~2025-05-12,인사동 한국미술관 2층 전시관,누구나,,https://www.kiroart.or.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=427128e7ccd8422f8282f52e4d792754&thumb=Y,무료
247,교육/체험,[구립증산정보도서관] 5월 추억 나눔 이벤트 [들려줘요! 도서관과 함께한 순간],2025-05-07~2025-05-11,가족열람실,가족열람실 방문 이용자 누구나,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2217&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6c6965cdd56b4e7faaa21c8e9ac49fc9&thumb=Y,무료
248,클래식,최은지 바이올린 독주회,2025-05-07~2025-05-07,세종문화회관 세종체임버홀,7세 이상 관람 가능 (2018년 이전 출생자),"전석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36214&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e93cd9071dba4851a8b9f28da0016627&thumb=Y,유료
249,독주/독창회,김유경 바이올린 독주회,2025-05-07~2025-05-07,예술의전당 IBK기업은행챔버홀,초등학생 이상,"일반석 20,000원",https://tickets.interpark.com/contents/search?keyword=%EA%B9%80%EC%9C%A0%EA%B2%BD&start=0&rows=20,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=459492bf4b534c4bb3fce6c58c81ca5c&thumb=Y,유료
250,축제-전통/역사,의정부지 역사유적광장 전통무예행사,2025-05-06~2025-10-08,의정부지 역사유적광장,"일반인(현장 관람) ※ 체험행사 별도진행(사전 20명, 현장 10명)",,https://cafe.naver.com/ujbj2025,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e15a1a292da44068981d6ffad9614cc1&thumb=Y,무료
251,교육/체험,[서울상상나라] 초록 햇살 머핀,2025-05-06~2025-05-31,서울상상나라 지하 1층 요리놀이실,4세 이상 어린이(보호자 1인 참여),"15,000원(입장료 4,000원 별도)",https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=94b907f6c6d047e280909be9abc41da8&thumb=Y,유료
252,교육/체험,[서울상상나라] 봄빛으로 성장해 봄,2025-05-06~2025-05-31,지하1층 빛의 방,6세 이상 어린이,"8,000원(입장료 4,000원 별도)",https://www.seoulchildrensmuseum.org/education/educationList.do?Classification=8,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0e41ccc1cb314a2d9603369494ad33aa&thumb=Y,유료
253,교육/체험,[서울상상나라] 작은정원케이크,2025-05-06~2025-05-31,서울상상나라 지하 1층 요리놀이실,5세 이상 어린이,"15,000원(입장료 4,000원 별도)",https://www.seoulchildrensmuseum.org/education/educationList.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=102d28d34d814fa89c3c4fddb54d95ed&thumb=Y,유료
254,국악,[서울남산국악당] 전통판소리 시리즈 1 [귀한 소리],2025-05-06~2025-05-27,서울남산국악당 야외마당,10세 이상 누구나,"전석 30,000원",https://www.hanokmaeul.or.kr/ko/g/perf/%ec%83%81%ec%a3%bc%eb%8b%a8%ec%b2%b4-%ec%a0%84%ed%86%b5%ed%8c%90%ec%86%8c%eb%a6%ac-%ec%8b%9c%eb%a6%ac%ec%a6%88-1-%ea%b7%80%ed%95%9c-%ec%86%8c%eb%a6%ac,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=194b437946274fb8902d60092c6ed822&thumb=Y,유료
255,교육/체험,"[서울아트책보고] 건축과 미술, 그 오랜 동행의 역사",2025-05-06~2025-05-27,서울아트책보고 워크숍룸,성인,,https://artbookbogo.kr/seoul/menu/10024/program/30009/cultureDetail.do?currentPageNo=1&cultureIdx=19284&searchCultureTypeCd=ALL&searchOperStatusCd=ALL,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=75140868b8cd43dab0271c5f229a0902&thumb=Y,무료
256,콘서트,2025 문화가 흐르는 서울광장 5월,2025-05-06~2025-05-25,서울광장,시민 누구나,,https://cultureseoul.co.kr/2025/?p=0200,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7c49f26280954462bbf56381cb51fa0b&thumb=Y,무료
257,클래식,클래시칸 앙상블의 시그니처 콘서트 ,2025-05-06~2025-05-06,예술의전당 IBK기업은행챔버홀,초등학생 이상,"R석 5만원, S석 4만원 (학생할인 30%)",https://blog.naver.com/clara32/223811715514,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e02eec73968a434dbdb9d201a01d4917&thumb=Y,유료
258,클래식,[세종문화회관] 5월 누구나 클래식 [배다해의 해설 클래식 - 오페라와 합창],2025-05-06~2025-05-06,세종문화회관 세종대극장,2018년 이전 출생자,"관람료 선택제 1,000원 3,000원 5,000원 10,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36088&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=898909fe7d5a4c79a834ed6f6e9b8539&thumb=Y,유료
259,축제-문화/예술,2025 마포문화재단 가정의달 축제 [해피 메이 와글와글],2025-05-05~2025-05-29,"마포아트센터 아트홀맥, 플레이맥, 갤러리맥",각 공연별 상이,"전석 30,000",https://www.mfac.or.kr/communication/notice_all_view.jsp?sc_b_code=BOARD_1207683401&sc_str=%EC%99%80%EA%B8%80%EC%99%80%EA%B8%80&sc_type=1&sc_cond=b_subject&pk_seq=8815&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fad8a970d66f4fe097417d7265780bfd&thumb=Y,유료
260,콘서트,[운현궁 브런치 버스킹 쉬라궁] 5월 일정 안내,2025-05-05~2025-05-28,운현궁,누구나,,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?sno=0&group=basic&code=B35&category=&&abmode=view&no=1614&bsort=&bfsort=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f657e53131eb40b9babb79b95b8f7866&thumb=Y,무료
261,전시/미술,[운현궁] 2025 기획전시 [봄빛 정원],2025-05-05~2025-05-11,운현궁 기획전시실,누구나,,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?abmode=view&no=1615&group=basic&code=B35,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=13b4a9fe785743d291f646022a8438a4&thumb=Y,무료
262,전시/미술,[마포문화재단] [해피 메이 와글와글] 발레체험전 [시간의 춤],2025-05-05~2025-05-10,마포아트센터 갤러리맥,누구나 관람 가능,무료관,https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2493&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=625c9816467c4270ba2fb8c0ee999488&thumb=Y,무료
263,클래식,피카스(PICAS) 그림동화 음악회 [정글북],2025-05-05~2025-05-05,세종체임버홀,2세 이상 관람 가능 (2023년 이전 출생자),"R석 30,000원 S석 20,000원",https://www.sejongpac.or.kr/portal/performance/performance/performTicket.do?performIdx=36198&menuNo=200320,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=00034bd80dcd4558aee45e48aab47127&thumb=Y,유료
264,축제-문화/예술,[남산골한옥마을] 2025 남산골 어린이마을 [놀러가장],2025-05-05~2025-05-05,남산골한옥마을 전통가옥 일대,누구나,,https://www.hanokmaeul.or.kr/ko/h/events/2025-%eb%82%a8%ec%82%b0%ea%b3%a8-%ec%96%b4%eb%a6%b0%ec%9d%b4%eb%a7%88%ec%9d%84-%eb%86%80%eb%9f%ac%ea%b0%80%ec%9e%a5,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7bda16f7035f4cdc9a701a78a5c03daa&thumb=Y,무료
265,축제-문화/예술,2025 전쟁기념사업회 어린이날 문화축제,2025-05-05~2025-05-05,전쟁기념관 평화광장 및 전시실,어린이 및 누구나,,https://www.warmemo.or.kr:8443/Home/H30000/H30200/programDetail?goods_num=330&p_type=P3,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a8e035686bff4ba184d492d7a9a0f167&thumb=Y,무료
266,축제-문화/예술,[청와대] 2025 어린이날 문화 행사  [청와대 어린이 세상],2025-05-05~2025-05-05,청와대 헬기장,대한민국 어린이 누구나,무료,https://www.opencheongwadae.kr/mps/festival/eventView?festivalNo=224&menuId=MENU002020104000000&schType=0&year=2025&schText=&pageNum=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1b1080c9fa604009ae9e7909d8c63183&thumb=Y,무료
267,독주/독창회,박혜미 피아노 독주회,2025-05-05~2025-05-05,금호아트홀 연세,미취학아동입장불가,"전석 20,000원",https://www.kumhoarthall.com:448/designer/skin/01/detail.html?p_idx=25247&s_idx=11&vwY=2025&vwM=05&se_idx=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5056ff3ea8bf4d219297811815fe1a4f&thumb=Y,유료
268,클래식,[강동문화재단] 핑크퐁 클래식 나라 with 바이올리니스트 대니 구,2025-05-05~2025-05-05,강동아트센터 대극장 한강,36개월 이상,"R 60,000원, S 40,000원",https://www.gdfac.or.kr/product/ko/performance/258200,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7d6d4057f3ed4863ab307144ff74a41f&thumb=Y,유료
269,연극,[마포문화재단] 2025 마포문화재단 가정의달 축제 [해피 메이 와글와글] 만보와 별별머리,2025-05-05~2025-05-05,마포아트센터 플레이맥,36개월 이상 관람가,"전석 30,000원",https://www.mfac.or.kr/performance/whole_view.jsp?sc_b_category=17&sc_b_code=BOARD_1207683401&pk_seq=2488&page=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f496da6ad8034ea5bd57bf14348b65cb&thumb=Y,유료
270,기타,[서울도서관] 책읽는 서울광장,2025-05-04~2025-06-29,서울광장,누구나,무료,https://seouloutdoorlibrary.kr/user/square/about.do,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0e17b6c7306443092ce094590dab02a&thumb=Y,무료
271,축제-문화/예술,[미래한강본부] 2025 차없는 잠수교 뚜벅뚜벅 축제(상반기),2025-05-04~2025-06-22,잠수교 및 반포한강공원 일대,누구나,,https://hangang.seoul.go.kr/www/eventMng/detail.do?srchType=list&evntSn=272&mid=538&pageNo=1&keyword=&opt4=&opt11=&opt12=&opt13=&opt14=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3e32588ea13545f68f5ab203942de1a0&thumb=Y,무료
272,클래식,빛과 바람의 교향시 - Symphony of Light and Wind,2025-05-04~2025-05-25,서울숲 스튜디오301,"성인, 청소년","성인 30,000 원 / 청소년 20,000 원 / 예술인패스소지자 25,000 원",https://m.booking.naver.com/booking/5/bizes/601161/items/6573628?startDateTime=2025-05-04T00%3A00%3A00%2B09%3A00&tab=details,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f87e6612261e44d9a9b65914c4b2da2b&thumb=Y,유료
273,콘서트,[운현궁] 2025 서울 운현궁 5월 한옥콘서트,2025-05-04~2025-05-24,운현궁 일원,누구나,무료,https://www.unhyeongung.or.kr/sub/prpgram/total_list.php?abmode=view&no=1597&group=basic&code=B35,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=eaad02cd520b44fca9cc09ac0fae1222&thumb=Y,무료
274,교육/체험,[서울공예박물관] 대대손손 공예,2025-05-04~2025-05-06,서울공예박물관 전시3동 1층 교육실,초등학교1~3학년 어린이와 조부모님,,https://craftmuseum.seoul.go.kr/progrm/view/252,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7082afab27204014981c043320ca0174&thumb=Y,무료
275,축제-문화/예술,[서울대공원] 2025 어린이날 기념행사 [모여라! 대공원],2025-05-04~2025-05-05,서울대공원 동물원 일대 ,누구나,"어른 5,000원 / 청소년 3,000원 / 어린이 2,000원",https://grandpark.seoul.go.kr/munhwa/munhwaView/ko/S001005001004.do?pageIndex=1&mh_no=46144&search_gubun=&searchWord=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f6645911a47e4a48b44f1349235ca3b8&thumb=Y,유료
276,콘서트,꿈의숲 어린이마술콘서트 쇼프라이즈,2025-05-04~2025-05-05,꿈의숲 퍼포먼스홀,3세 이상 관람 가능 (2022년 이전 출생자),"전석 20,000원",https://www.sejongpac.or.kr/dfac/dfacPerformance/dfacPerformance/performTicket.do?performIdx=36123&menuNo=1200007,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1bab614d4c5849dfbcb9fb0342cf062c&thumb=Y,유료
277,클래식,문지원 바이올린 독주회,2025-05-04~2025-05-04,예술의전당 리사이틀홀,미취학아동 입장불가,"전석20,000원",https://www.sac.or.kr/site/main/show/show_view?SN=70143,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e0215026a7a344a4bd59e37ca13849ba&thumb=Y,유료
278,클래식,2025.The Spring flute concert [봄이 오는 소리] 음악회 [k-flutes플루티스트 유지연],2025-05-04~2025-05-04,서울생활문화센터 1층 체부홀,누구나,,https://blog.naver.com/christin_flute/223847149670,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3b4829509c7b4a51a641a41ea2884128&thumb=Y,무료
279,클래식,서울클라리넷앙상블과 함께하는 [어린이날 콘서트],2025-05-04~2025-05-04,예술의전당 리사이틀홀,36개월 이상,"일반석 20,000원",https://blog.naver.com/clara32/223838703833,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5846438db43d4084a5b736502203472b&thumb=Y,유료
280,축제-기타,[서울스프링페스타] 로드쇼 [펀 나이트워크 5K],2025-05-04~2025-05-04,광화문 광장 - 청와대 일원(약5km) ,"대한민국 국민 및 외국인 누구나! 선착순 2,000명",,https://news.seoul.go.kr/culture/archives/527415,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=6e06d062af2042feaf1f873c2b9b2856&thumb=Y,무료
281,축제-문화/예술,[서울시민대학] 5월 모두공연장 : 설레이나봄 Flower Festival,2025-05-04~2025-05-04,모두의학교 캠퍼스 야외&1층 시민홀,시민 누구나,무료,https://sll.seoul.go.kr/lms/simin_course/courseRequest/doListView.do?main_se=ssu&simin_yn=MD&mnid=202501301706,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8a3be7fd2a7f4aacb094ccdb71a9d82b&thumb=Y,무료
282,교육/체험,[종로문화재단] 윤동주문학관 문학 투어 프로그램 [동주와 마실],2025-05-03~2025-10-31,윤동주문학관~서촌 일대(코스별 상이),누구나,"짧은마실 : 무료 / 긴 마실 : 유료(20,000원)",https://blog.naver.com/jn_jfac/223839595288,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=459cdb4f937f4b798d9663033cb400fe&thumb=Y,유료
283,축제-문화/예술,2025 서울시 태권도 상설공연,2025-05-03~2025-10-18,남산골한옥마을 천우각무대,누구나,,https://www.instagram.com/seoul.tkd,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fb5d840b1b824418a47620832eee8dce&thumb=Y,무료
284,교육/체험,[DDP] 2025 DDP 봄축제 [어린이투어],2025-05-03~2025-07-31,DDP 전역,"투어: 부모님 동행 가능, 워크숍: 어린이만 참여 가능",,https://ddp.or.kr/index.html?menuno=239&siteno=2&bbsno=5&boardno=145&bbstopno=5&act=view&subno=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d80fc1e9a01a42d48878e8fc9b7b1e12&thumb=Y,무료
285,교육/체험,[서울시립미술관] 《말하는 머리들》 워크숍 - 격주로 [눈빛이 만지는 곳 - 관람자 심층 인터뷰],2025-05-03~2025-06-28,서울시립미술관 서소문본관 2층 전시실,누구나,,https://sema.seoul.go.kr/kr/whatson/event/detail?evtNo=1403173,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a3ead41159704269b342f5088927b68f&thumb=Y,무료
286,축제-문화/예술,[미래한강본부] 2025 책읽는 한강공원,2025-05-03~2025-06-21,"여의도한강공원 멀티플라자, 이촌한강공원 이촌나들목 옆 잔디광장 등",누구나,무료,https://hangangoutdoorlib.seoul.kr/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5f139ec8fa9a41a2b74544bdf9c3b829&thumb=Y,무료
287,콘서트,[청와대] 2025 청와대 주말 상설 공연,2025-05-03~2025-06-01,청와대 일원,누구나,무료,https://www.opencheongwadae.kr/mps/festival/eventView?festivalNo=225&menuId=MENU002020104000000&schType=0&year=2025&schText=&pageNum=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b2de016a97fb461b84eb0e4f4496d395&thumb=Y,무료
288,교육/체험,[서울시립 미술아카이브] 가정의 달 [타이포 패밀리],2025-05-03~2025-05-31,서울시립 미술아카이브 배움동 2층 모두의 교실,누구나,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1393350,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b9578f8059b447b69298de28e4658d10&thumb=Y,무료
289,기타,[청와대] 2025 청와대 태권도 시범공연 [위대한 태권도],2025-05-03~2025-05-31,청와대 대정원,누구나,무료,https://www.opencheongwadae.kr/mps/festival/eventView?festivalNo=226&menuId=MENU002020104000000&schType=0&year=2025&schText=&pageNum=1,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1854317239814e8bad7c88845d7e3947&thumb=Y,무료
290,교육/체험,[서울문화예술교육센터 양천] 예술 작업실 [몸으로 예술놀이],2025-05-03~2025-05-24,서울문화예술교육센터 양천 다목적홀 ,2016년~2017년 출생 어린이,,https://www.sfac.or.kr/asa/edu/view.do?eduMstSeq=35238,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=983fb906623f46c88e41290e0f3a24f8&thumb=Y,무료
291,교육/체험,"[서울공예박물관] 장인의 보물상자(화각공예)[3,4학년]_5월",2025-05-03~2025-05-17,서울공예박물관 전시3동 1층 교육실,"어린이 초등학교 3,4학년",,https://craftmuseum.seoul.go.kr/progrm/view/312,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=38055ddf81604aea81bfd302ceb1f6b8&thumb=Y,무료
292,교육/체험,"[서울공예박물관] 장인의 보물상자(화각공예)[5,6학년]_5월",2025-05-03~2025-05-17,서울공예박물관 전시3동 1층 교육실,"초등학교 5,6학년",,https://craftmuseum.seoul.go.kr/progrm/view/313,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4a2b983c5c664c4bbcc24beebd883c6d&thumb=Y,무료
293,교육/체험,[구립증산정보도서관] 5월 어린이 독서퀴즈,2025-05-03~2025-05-11,구립증산정보도서관 3층 어린이열람실,어린이 이용자 누구나,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2216&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=07299932a7bf40d9b45587453f9ef92d&thumb=Y,무료
294,축제-문화/예술,[서울한옥포털] 북촌도락 5월 [상상이 현실이 되는 네버랜드],2025-05-03~2025-05-06,북촌문화센터,누구나,,https://hanok.seoul.go.kr/front/kor/bbs/selectBoardArticle.do?nttId=2570&bbsId=BBSMSTR_000000000031,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=22b0e3b00cb9432db783e91464f311fe&thumb=Y,무료
295,교육/체험,[서울시립 남서울미술관] 《권진규의 영원한 집》 연계 교육 프로그램 [조물조물 동물 친구들],2025-05-03~2025-05-06,서울시립 남서울미술관 B1 교육실,어린이 7~10세,,https://sema.seoul.go.kr/kr/whatson/education/detail?acadmyEeNo=1392102,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a43d85d138af4c05acefef9b36128b07&thumb=Y,무료
296,국악, [서울남산국악당] 2025 남산 마당페스타,2025-05-03~2025-05-05,서울남산국악당 야외마당,누구나,,https://www.hanokmaeul.or.kr/ko/g/perf/%ea%b8%b0%ed%9a%8d-2025-%eb%82%a8%ec%82%b0-%eb%a7%88%eb%8b%b9%ed%8e%98%ec%8a%a4%ed%83%80,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=beee40d3555b41e790c519e2ec9bc68d&thumb=Y,무료
297,축제-문화/예술,서울서커스페스티벌2025,2025-05-03~2025-05-05,노들섬,누구나,,https://www.instagram.com/scfest.official/,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8ccbcef94b85454e969f31f95f2bd2aa&thumb=Y,무료
298,콘서트,"[서울아트책보고] 상상하는 대로 되는 매직 벌룬쇼 1,2차",2025-05-03~2025-05-04,서울아트책보고 북카페 열린무대,누구나,,https://artbookbogo.kr/seoul/menu/10024/program/30009/cultureList.do?searchOperStatusCd=ALL&searchCultureTypeCd=ALL,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d35131e534c1406cb9309c340facc275&thumb=Y,무료
299,교육/체험,[구립증산정보도서관] 어린이날 기념 [찾아 봐요! 책 속의 달콤함],2025-05-03~2025-05-03,구립증산정보도서관 3층 어린이열람실,유아 및 어린이 이용자,,https://www.jsplib.or.kr/culture/event.asp?mode=view&lecture_seq=2214&listname=normal,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=005c5e6fae5b4ca1b8bcb2c77e69facc&thumb=Y,무료
300,클래식,합창과 쳄버 오케스트라를 위한 [Hoer! unser Lied!],2025-05-03~2025-05-03,광림아트센터 장천홀,누구나,"전석 30,000원",https://tickets.interpark.com/goods/25003353,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0fb367f112234a09b5aba086d6d0d53b&thumb=Y,유료
301,축제-기타,[관악문화재단] 제4회 관악별빛사생대회,2025-05-03~2025-05-03,관천로 문화플랫폼 S1472 앞 별빛내린천 수변,미취학 아동 ~ 초등학교 6학년 (2020년생부터 신청 가능),,https://gfac.or.kr/site/main/performance/EVENT/view/224,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a48ada864da949aaad4d396ffc1cc50c&thumb=Y,무료
302,축제-문화/예술,[동대문구] 어린이날 기념행사 [동동동 키즈데이],2025-05-03~2025-05-03,동대문구청 2층 강당 및 광장,관내 초등학생(저학년부/고학년부),,https://www.ddm.go.kr/tour/selectBbsNttView.do?key=1493&bbsNo=243&nttNo=166340,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=316cb7c5c9f643f7af76f52152f35e40&thumb=Y,무료
303,무용,"[성동문화재단] 어린이날 기념 해설이 있는 발레 [돈키호테, SUITE]",2025-05-03~2025-05-03,소월아트홀,누구나,"전석 3만원 (성동구민, 학생, 복지카드 소지자 50% 할인)",https://sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=1266&page=1&p_kind=&s_idx=&s_keyword=,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=198ad3c0d8c148abb24485d435c92bbe&thumb=Y,유료
